numero_boletin,Id,Descripcion,Fecha,TotalSi,TotalNo,TotalAbstencion,TotalDispensado,Quorum,Resultado,Tipo,TipoVotacionProyectoLey,Articulo,TramiteConstitucional,TramiteReglamentario
11092-07,42724,Boletín N°11092-07,2024-08-26T19:03:25,65,22,36,0,Quórum Calificado,Aprobado,Proyecto de Ley,Única,"Proposición de la Comisión Mixta recaída en el proyecto de ley, originado en moción y mensaje, que “Regula la protección y el tratamiento de los datos personales y crea la Agencia de Protección de Datos Personales.”.

[Cabe hacer presente que por no alcanzar el quórum constitucional no se aprueba el artículo 55 propuesto por la Comisión]
",Comisión Mixta,Sin Informe
11092-07,21219,Boletín N°11092-07,2023-05-08T19:18:45,74,59,2,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Letra c) del artículo 35, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución. ",Segundo Trámite,Primer Informe
11092-07,21218,Boletín N°11092-07,2023-05-08T19:17:43,73,60,2,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Letra b) del artículo 35, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución.",Segundo Trámite,Primer Informe
11092-07,21217,Boletín N°11092-07,2023-05-08T19:16:53,90,38,7,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Artículo 32, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución.
",Segundo Trámite,Primer Informe
11092-07,20637,Boletín N°11092-07,2023-05-08T19:15:59,91,41,3,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Artículo 31, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución.
",Segundo Trámite,Primer Informe
11092-07,20636,Boletín N°11092-07,2023-05-08T19:15:04,92,40,3,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Artículo 30 nonies, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución.",Segundo Trámite,Primer Informe
11092-07,20635,Boletín N°11092-07,2023-05-08T19:13:51,92,40,3,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Artículo 30 octies, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución.
",Segundo Trámite,Primer Informe
11092-07,20634,Boletín N°11092-07,2023-05-08T19:12:58,94,40,1,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Artículo 30 quáter, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución. 
",Segundo Trámite,Primer Informe
11092-07,20633,Boletín N°11092-07,2023-05-08T19:11:56,94,39,2,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Artículo 30 ter, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución.",Segundo Trámite,Primer Informe
11092-07,20632,Boletín N°11092-07,2023-05-08T19:11:06,93,42,0,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Artículo 30 bis, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución. 
",Segundo Trámite,Primer Informe
11092-07,20631,Boletín N°11092-07,2023-05-08T19:10:13,91,43,1,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Artículo 30, contenido en el numeral 12) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución. 
",Segundo Trámite,Primer Informe
11092-07,20630,Boletín N°11092-07,2023-05-08T19:09:23,90,40,5,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Letra L) del artículo 14 ter, contenido en el numeral 7) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución.
",Segundo Trámite,Primer Informe
11092-07,20629,Boletín N°11092-07,2023-05-08T19:08:21,90,42,3,0,Quórum Simple,Aprobado,Proyecto de Ley,Particular,"Encabezado del artículo 14 ter, contenido en el numeral 7) del artículo primero del proyecto, en los términos sugeridos por la Comisión de Constitución.
",Segundo Trámite,Primer Informe
11092-07,20628,Boletín N°11092-07,2023-05-08T19:06:49,128,0,0,0,Quórum Calificado,Aprobado,Proyecto de Ley,General,"Letra h) del artículo 3°, contenido en el numeral 5; el inciso final del artículo 14 bis, contenido en el numeral 7;  la letra d) del inciso primero del artículo 24 y los incisos tercero y final del artículo 25, contenidos en el numeral 10; el artículo 30 sexies, el artículo 43, el inciso sexto del artículo 44, el inciso primero del artículo 45, el artículo 46, el inciso octavo del artículo 50, el artículo 55 (que pasó a ser 54) y el artículo 56 (que pasó a ser 55), contenidos en el numeral 12, todos del artículo primero del proyecto de ley.",Segundo Trámite,Primer Informe
11092-07,20627,Boletín N°11092-07,2023-05-08T19:05:22,122,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,General,,Segundo Trámite,Primer Informe
