diputado_id,nombre,apellido_paterno,apellido_materno,opcion_codigo,opcion_voto,votacion_id,descripcion,fecha,total_si,total_no,total_abstencion,total_dispensado,quorum_codigo,quorum,resultado_codigo,resultado,tipo_codigo,tipo,numero_boletin,tipo_votacion_proyecto_ley,articulo,tramite_constitucional,tramite_reglamentario,fecha_nacimiento,sexo_valor,sexo_desc,periodo_id,fecha_inicio_periodo,fecha_termino_periodo,tiene_votos,partido_id,partido_nombre,partido_alias
1002,Leonardo,Soto,Ferrada,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1966-05-15,1,Masculino,10,2026-03-10 23:59:59,,True,PS,Partido Socialista,PS
1003,Renzo,Trisotti,Martínez,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1976-03-15,1,Masculino,10,2026-03-10 23:59:59,,True,UDI,Unión Demócrata Independiente,UDI
1009,Jorge,Alessandri,Vergara,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1979-06-08,1,Masculino,10,2026-03-10 23:59:59,,True,UDI,Unión Demócrata Independiente,UDI
1012,Boris,Barrera,Moreno,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1970-05-03,1,Masculino,10,2026-03-10 23:59:59,,True,PC,Partido Comunista,PC
1013,Alejandro,Bernales,Maldonado,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1979-02-02,1,Masculino,10,2026-03-10 23:59:59,,True,PL,Partido Liberal de Chile,PL
1016,Miguel Ángel,Calisto,Águila,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1985-07-19,1,Masculino,10,2026-03-10 23:59:59,,True,IND,Independientes,IND
1017,Álvaro,Carter,Fernández,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1980-10-09,1,Masculino,10,2026-03-10 23:59:59,,True,UDI,Unión Demócrata Independiente,UDI
1019,José Miguel,Castro,Bascuñán,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1974-08-05,1,Masculino,10,2026-03-10 23:59:59,,True,RN,Renovación Nacional,RN
1021,Andrés,Celis,Montt,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1975-04-08,1,Masculino,10,2026-03-10 23:59:59,,True,RN,Renovación Nacional,RN
1022,Sofía,Cid,Versalovic,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1971-09-29,0,Femenino,10,2026-03-10 23:59:59,,True,RN,Renovación Nacional,RN
1025,Catalina,Del Real,Mihovilovic,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1968-11-07,0,Femenino,10,2026-03-10 23:59:59,,True,RN,Renovación Nacional,RN
1028,Eduardo,Durán,Salinas,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1972-01-01,1,Masculino,10,2026-03-10 23:59:59,,True,RN,Renovación Nacional,RN
1030,Camila,Flores,Oporto,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1987-02-09,0,Femenino,10,2026-03-10 23:59:59,,True,RN,Renovación Nacional,RN
1034,Félix,González,Gatica,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1972-05-26,1,Masculino,10,2026-03-10 23:59:59,,True,PEV,Partido Ecologista Verde,PEV
1035,Carmen,Hertz,Cádiz,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1945-06-19,0,Femenino,10,2026-03-10 23:59:59,,True,PC,Partido Comunista,PC
1036,Tomás,Hirsch,Goldschmidt,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1956-07-19,1,Masculino,10,2026-03-10 23:59:59,,True,PAH,Partido Acción Humanista,PAH
1038,Marcos,Ilabaca,Cerda,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1970-10-05,1,Masculino,10,2026-03-10 23:59:59,,True,PS,Partido Socialista,PS
1040,Harry,Jürgensen,Rundshagen,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1968-09-03,1,Masculino,10,2026-03-10 23:59:59,,True,IND,Independientes,IND
1044,Raúl,Leiva,Carvajal,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1974-03-24,1,Masculino,10,2026-03-10 23:59:59,,True,PS,Partido Socialista,PS
1046,Andrés,Longton,Herrera,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1982-05-26,1,Masculino,10,2026-03-10 23:59:59,,True,RN,Renovación Nacional,RN
1048,Carolina,Marzán,Pinto,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1963-12-22,0,Femenino,10,2026-03-10 23:59:59,,True,PPD,Partido Por la Democracia,PPD
1049,Cosme,Mellado,Pino,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1960-02-24,1,Masculino,10,2026-03-10 23:59:59,,True,PR,Partido Radical de Chile,PR
1050,Miguel,Mellado,Suazo,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1958-12-29,1,Masculino,10,2026-03-10 23:59:59,,True,RN,Renovación Nacional,RN
1054,Francesca,Muñoz,González,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1980-03-07,0,Femenino,10,2026-03-10 23:59:59,,True,IND,Independientes,IND
1056,Emilia,Nuyado,Ancapichun,1,Afirmativo,20627,Boletín N° 11092-07,2023-05-08 19:05:22,122,0,0,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley,11092-07,General,,Segundo Trámite,Primer Informe,1968-08-17,0,Femenino,10,2026-03-10 23:59:59,,True,PS,Partido Socialista,PS
