diputado_id,nombre,apellido_paterno,apellido_materno,opcion_codigo,opcion_voto,votacion_id,descripcion,fecha,total_si,total_no,total_abstencion,total_dispensado,quorum_codigo,quorum,resultado_codigo,resultado,tipo_codigo,tipo
803,René,Alinco,Bustos,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
815,Sergio,Bobadilla,Muñoz,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
872,Jaime,Mulet,Martínez,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
917,Gastón,Von Mühlenbrock,Zamora,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
948,Gaspar,Rivas,Sánchez,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
953,Frank,Sauerbaum,Muñoz,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
971,Bernardo,Berger,Fett,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
975,Daniella,Cicardini,Milla,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
976,Juan Antonio,Coloma,Álamos,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
989,Joaquín,Lavín,León,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
991,Vlado,Mirosevic,Verdugo,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
999,Jorge,Rathgeb,Schifferli,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1003,Renzo,Trisotti,Martínez,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1009,Jorge,Alessandri,Vergara,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1012,Boris,Barrera,Moreno,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1013,Alejandro,Bernales,Maldonado,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1015,Jorge,Brito,Hasbún,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1016,Miguel Ángel,Calisto,Águila,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1019,José Miguel,Castro,Bascuñán,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1025,Catalina,Del Real,Mihovilovic,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1027,Jorge,Durán,Espinoza,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1028,Eduardo,Durán,Salinas,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1034,Félix,González,Gatica,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1035,Carmen,Hertz,Cádiz,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1036,Tomás,Hirsch,Goldschmidt,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1037,Diego,Ibáñez,Cotroneo,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1038,Marcos,Ilabaca,Cerda,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1039,Pamela,Jiles,Moreno,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1044,Raúl,Leiva,Carvajal,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1046,Andrés,Longton,Herrera,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1048,Carolina,Marzán,Pinto,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1049,Cosme,Mellado,Pino,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1051,Claudia,Mix,Jiménez,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1053,Cristhian,Moreira,Barros,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1054,Francesca,Muñoz,González,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1056,Emilia,Nuyado,Ancapichun,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1057,Erika,Olivera,De La Fuente,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1059,Ximena,Ossandón,Irarrázabal,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1062,Joanna,Pérez,Olea,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1063,Catalina,Pérez,Salinas,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1065,Guillermo,Ramírez,Diez,0,En Contra,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1067,Hugo,Rey,Martínez,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1068,Camila,Rojas,Valderrama,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1069,Leonidas,Romero,Sáez,2,Abstención,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
1073,Juan,Santana,Castillo,1,Afirmativo,42724,Boletín N° 11092-07,2024-08-26 19:03:25,65,22,36,0,2,Quórum Calificado,1,Aprobado,1,Proyecto de Ley
