diputado_id,partido_id,partido_nombre,partido_alias,fecha_inicio,fecha_termino,intervalo_valido,observacion_calidad,fecha_termino_original,regla_asignacion_partido
1096,PC,Partido Comunista,PC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1097,DC,Partido Demócrata Cristiano,DC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1098,PDG,Partido de la Gente,PDG,2022-03-11 00:00:00,2023-04-18 23:59:59,True,,2023-04-18 23:59:59,vigencia_temporal_estandar
1098,IND,Independientes,IND,2023-04-19 00:00:00,2025-03-16 23:59:59,True,,2025-03-16 23:59:59,vigencia_temporal_estandar
1098,PSC,Partido Social Cristiano,PSC,2025-03-17 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1009,UDI,Unión Demócrata Independiente,UDI,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1009,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1009,UDI,Unión Demócrata Independiente,UDI,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
803,IND,Independientes,IND,2010-03-11 00:00:00,2014-03-10 23:59:59,True,,2014-03-10 23:59:59,vigencia_temporal_estandar
803,IND,Independientes,IND,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
803,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
803,PPD,Partido Por la Democracia,PPD,2006-03-11 00:00:00,2010-03-10 23:59:59,True,,2010-03-10 23:59:59,vigencia_temporal_estandar
803,IND,Independientes,IND,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1099,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1099,IND,Independientes,IND,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1100,PREP,Partido Republicano,PREP,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1100,PREP,Partido Republicano,PREP,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1101,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1102,PDG,Partido de la Gente,PDG,2022-03-11 00:00:00,2023-11-07 23:59:59,True,,2023-11-07 23:59:59,vigencia_temporal_estandar
1102,PSC,Partido Social Cristiano,PSC,2023-11-08 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1102,PSC,Partido Social Cristiano,PSC,2026-03-11 00:00:00,2026-08-30 23:59:59,True,,2026-08-30 23:59:59,vigencia_temporal_estandar
1102,IND,Independientes,IND,2026-08-31 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1103,PS,Partido Socialista,PS,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1104,PREP,Partido Republicano,PREP,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1104,PREP,Partido Republicano,PREP,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1012,PC,Partido Comunista,PC,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1012,PC,Partido Comunista,PC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1012,PC,Partido Comunista,PC,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1105,DC,Partido Demócrata Cristiano,DC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1105,DC,Partido Demócrata Cristiano,DC,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1106,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1107,PCS,Partido Convergencia Social,PCS,2022-03-11 00:00:00,2024-07-02 23:59:59,True,,2024-07-02 23:59:59,vigencia_temporal_estandar
1107,FA,Frente Amplio,FA,2024-07-03 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1107,FA,Frente Amplio,FA,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1108,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1108,RN,Renovación Nacional,RN,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1109,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
971,RN,Renovación Nacional,RN,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
971,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
971,RN,Renovación Nacional,RN,2014-03-11 00:00:00,2018-03-10 23:59:59,True,,2018-03-10 23:59:59,vigencia_temporal_estandar
1013,LIBERAL,Partido Liberal de Chile,LIBERAL,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1013,LIBERAL,Partido Liberal de Chile,LIBERAL,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1013,PL,Partido Liberal de Chile,PL,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1110,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1110,IND,Independientes,IND,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
815,UDI,Unión Demócrata Independiente,UDI,2010-03-11 00:00:00,2014-03-10 23:59:59,True,,2014-03-10 23:59:59,vigencia_temporal_estandar
815,UDI,Unión Demócrata Independiente,UDI,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
815,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
815,UDI,Unión Demócrata Independiente,UDI,2006-03-11 00:00:00,2010-03-10 23:59:59,True,,2010-03-10 23:59:59,vigencia_temporal_estandar
815,UDI,Unión Demócrata Independiente,UDI,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1111,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1112,PS,Partido Socialista,PS,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1113,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1015,RD,Revolución Democrática,RD,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1015,RD,Revolución Democrática,RD,2022-03-11 00:00:00,2024-07-02 23:59:59,True,,2024-07-02 23:59:59,vigencia_temporal_estandar
1015,FA,Frente Amplio,FA,2024-07-03 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1015,FA,Frente Amplio,FA,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1114,FRVS,Federación Regionalista Verde Social,FRVS,2022-03-11 00:00:00,2023-06-12 23:59:59,True,,2023-06-12 23:59:59,vigencia_temporal_estandar
1115,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1016,DC,Partido Demócrata Cristiano,DC,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1016,DC,Partido Demócrata Cristiano,DC,2022-03-11 00:00:00,2023-03-08 23:59:59,True,,2023-03-08 23:59:59,vigencia_temporal_estandar
