periodo_id,nombre,fecha_inicio,fecha_termino
7,1965-1969,1965-03-11 00:00:00,1969-03-11 00:00:00
1,1990-1994,1990-03-11 00:00:00,1994-03-10 00:00:00
2,1994-1998,1994-03-11 00:00:00,1998-03-10 00:00:00
3,1998-2002,1998-03-11 00:00:00,2002-03-10 00:00:00
4,2002-2006,2002-03-11 00:00:00,2006-03-10 00:00:00
5,2006-2010,2006-03-11 00:00:00,2010-03-10 00:00:00
6,2010-2014,2010-03-11 00:00:00,2014-03-10 00:00:00
8,2014-2018,2014-03-11 00:00:00,2018-03-10 23:59:59
9,2018-2022,2018-03-11 00:00:00,2022-03-10 23:59:59
10,2022-2026,2022-03-11 00:00:00,2026-03-10 23:59:59
11,2026-2030,2026-03-11 00:00:00,2030-03-10 23:59:59
